input_size,image,expected_class,condition,detections_count,detected_classes,detected_confidences,status,policy_decision,policy_reason,recommended_action
640,glass_bottle/glass_bottle_partial_cut_007.jpg.jpg,glass_bottle,partial_cut,1,paper_cup,0.86,misclassified,ACCEPT_SORT,known_high_confidence,SORT
640,glass_bottle/glass_bottle_reflection_008.jpg.jpg,glass_bottle,reflection,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
640,glass_bottle/glass_bottle_small_far_004.jpg.jpg,glass_bottle,small_far,1,paper_cup,0.84,misclassified,ACCEPT_SORT,known_high_confidence,SORT
640,paper_cup/paper_cup_angle_view_002.jpg.jpg,paper_cup,angle_view,2,unknown+paper_cup,0.89+0.66,correct,ROUTE_TO_REJECT,unknown_object,REJECT
640,paper_cup/paper_cup_clutter_bg_005.jpg.jpg,paper_cup,clutter_bg,1,paper_cup,0.78,correct,ACCEPT_SORT,known_high_confidence,SORT
640,paper_cup/paper_cup_crushed_008.jpg.jpg,paper_cup,crushed,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
640,paper_cup/paper_cup_dark_light_003.jpg.jpg,paper_cup,dark_light,1,paper_cup,0.88,correct,ACCEPT_SORT,known_high_confidence,SORT
640,paper_cup/paper_cup_edge_frame_006.jpg.jpg,paper_cup,edge_frame,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
640,paper_cup/paper_cup_hard_case_010.jpg.jpg,paper_cup,hard_case,4,unknown+paper_cup+plastic_bottle+plastic_bottle,0.79+0.71+0.68+0.51,correct,MANUAL_REVIEW,too_many_detections,MANUAL_REVIEW
640,paper_cup/paper_cup_multi_object_009.jpg.jpg,paper_cup,multi_object,1,paper_cup,0.68,correct,ACCEPT_SORT,known_high_confidence,SORT
640,paper_cup/paper_cup_normal_front_001.jpg.jpg,paper_cup,normal_front,1,paper_cup,0.90,correct,ACCEPT_SORT,known_high_confidence,SORT
640,paper_cup/paper_cup_partial_cut_007.jpg.jpg,paper_cup,partial_cut,1,paper_cup,0.78,correct,ACCEPT_SORT,known_high_confidence,SORT
640,paper_cup/paper_cup_small_far_004.jpg.jpg,paper_cup,small_far,1,paper_cup,0.85,correct,ACCEPT_SORT,known_high_confidence,SORT
640,plastic_bottle/plastic_bottle_angle_view_002.jpg.jpg,plastic_bottle,angle_view,1,plastic_bottle,0.54,correct,ACCEPT_SORT,known_high_confidence,SORT
640,plastic_bottle/plastic_bottle_clutter_bg_005.jpg.jpg,plastic_bottle,clutter_bg,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
640,plastic_bottle/plastic_bottle_crushed_008.jpg.jpg,plastic_bottle,crushed,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
640,plastic_bottle/plastic_bottle_dark_light_003.jpg.jpg,plastic_bottle,dark_light,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
640,plastic_bottle/plastic_bottle_edge_frame_006.jpg.jpg,plastic_bottle,edge_frame,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
640,plastic_bottle/plastic_bottle_hard_case_010.jpg.jpg,plastic_bottle,hard_case,2,unknown+plastic_bottle,0.91+0.76,correct,ROUTE_TO_REJECT,ambiguous_multi_detection,REJECT
640,plastic_bottle/plastic_bottle_multi_object_009.jpg.jpg,plastic_bottle,multi_object,2,unknown+unknown,0.88+0.88,misclassified,ROUTE_TO_REJECT,unknown_object,REJECT
640,plastic_bottle/plastic_bottle_normal_front_001.jpg.jpg,plastic_bottle,normal_front,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
640,plastic_bottle/plastic_bottle_partial_cut_007.jpg.jpg,plastic_bottle,partial_cut,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
640,plastic_bottle/plastic_bottle_small_far_004.jpg.jpg,plastic_bottle,small_far,1,plastic_bottle,0.84,correct,ACCEPT_SORT,known_high_confidence,SORT
640,unknown/unknown_book_005.jpg.jpg,unknown,book,0,,,correct_reject,SKIP_NO_DETECTION,no_detection,SKIP
640,unknown/unknown_bottle_cap_003.jpg.jpg,unknown,bottle_cap,0,,,correct_reject,SKIP_NO_DETECTION,no_detection,SKIP
640,unknown/unknown_charger_007.jpg.jpg,unknown,charger,0,,,correct_reject,SKIP_NO_DETECTION,no_detection,SKIP
640,unknown/unknown_hand_004.jpg.jpg,unknown,hand,1,unknown,0.83,correct_reject,ROUTE_TO_REJECT,unknown_object,REJECT
640,unknown/unknown_mixed_objects_010.jpg.jpg,unknown,mixed_objects,0,,,correct_reject,SKIP_NO_DETECTION,no_detection,SKIP
640,unknown/unknown_mouse_006.jpg.jpg,unknown,mouse,0,,,correct_reject,SKIP_NO_DETECTION,no_detection,SKIP
640,unknown/unknown_paper_piece_008.jpg.jpg,unknown,paper_piece,0,,,correct_reject,SKIP_NO_DETECTION,no_detection,SKIP
640,unknown/unknown_plastic_bag_009.jpg.jpg,unknown,plastic_bag,1,unknown,0.56,correct_reject,ROUTE_TO_REJECT,unknown_object,REJECT
640,unknown/unknown_snack_bag_002.jpg.jpg,unknown,snack_bag,0,,,correct_reject,SKIP_NO_DETECTION,no_detection,SKIP
640,unknown/unknown_tissue_001.jpg.jpg,unknown,tissue,0,,,correct_reject,SKIP_NO_DETECTION,no_detection,SKIP
416,can/can_angle_view_002.jpg.jpg,can,angle_view,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
416,can/can_clutter_bg_005.jpg.jpg,can,clutter_bg,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
416,can/can_crushed_008.jpg.jpg,can,crushed,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
416,can/can_dark_light_003.jpg.jpg,can,dark_light,1,paper_cup,0.83,misclassified,ACCEPT_SORT,known_high_confidence,SORT
416,can/can_edge_frame_006.jpg.jpg,can,edge_frame,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
416,can/can_hard_case_010.jpg.jpg,can,hard_case,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
416,can/can_multi_object_009.jpg.jpg,can,multi_object,1,unknown,0.91,misclassified,ROUTE_TO_REJECT,unknown_object,REJECT
416,can/can_normal_front_001.jpg.jpg,can,normal_front,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
416,can/can_partial_cut_007.jpg.jpg,can,partial_cut,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
416,can/can_small_far_004.jpg.jpg,can,small_far,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
416,glass_bottle/glass_bottle_angle_view_002.jpg.jpg,glass_bottle,angle_view,1,paper_cup,0.73,misclassified,ACCEPT_SORT,known_high_confidence,SORT
416,glass_bottle/glass_bottle_clutter_bg_005.jpg.jpg,glass_bottle,clutter_bg,2,paper_cup+unknown,0.90+0.88,misclassified,ROUTE_TO_REJECT,ambiguous_multi_detection,REJECT
416,glass_bottle/glass_bottle_dark_light_003.jpg.jpg,glass_bottle,dark_light,1,paper_cup,0.58,misclassified,ACCEPT_SORT,known_high_confidence,SORT
416,glass_bottle/glass_bottle_edge_frame_006.jpg.jpg,glass_bottle,edge_frame,1,paper_cup,0.72,misclassified,ACCEPT_SORT,known_high_confidence,SORT
416,glass_bottle/glass_bottle_hard_case_010.jpg.jpg,glass_bottle,hard_case,3,plastic_bottle+plastic_bottle+unknown,0.83+0.83+0.55,misclassified,ACCEPT_SORT,known_high_confidence,SORT
416,glass_bottle/glass_bottle_multi_object_009.jpg.jpg,glass_bottle,multi_object,1,unknown,0.75,misclassified,ROUTE_TO_REJECT,unknown_object,REJECT
416,glass_bottle/glass_bottle_normal_front_001.jpg.jpg,glass_bottle,normal_front,1,paper_cup,0.75,misclassified,ACCEPT_SORT,known_high_confidence,SORT
416,glass_bottle/glass_bottle_partial_cut_007.jpg.jpg,glass_bottle,partial_cut,1,paper_cup,0.84,misclassified,ACCEPT_SORT,known_high_confidence,SORT
416,glass_bottle/glass_bottle_reflection_008.jpg.jpg,glass_bottle,reflection,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
416,glass_bottle/glass_bottle_small_far_004.jpg.jpg,glass_bottle,small_far,1,paper_cup,0.86,misclassified,ACCEPT_SORT,known_high_confidence,SORT
416,paper_cup/paper_cup_angle_view_002.jpg.jpg,paper_cup,angle_view,1,unknown,0.81,misclassified,ROUTE_TO_REJECT,unknown_object,REJECT
416,paper_cup/paper_cup_clutter_bg_005.jpg.jpg,paper_cup,clutter_bg,1,plastic_bottle,0.65,misclassified,ACCEPT_SORT,known_high_confidence,SORT
416,paper_cup/paper_cup_crushed_008.jpg.jpg,paper_cup,crushed,1,unknown,0.64,misclassified,ROUTE_TO_REJECT,unknown_object,REJECT
416,paper_cup/paper_cup_dark_light_003.jpg.jpg,paper_cup,dark_light,1,paper_cup,0.64,correct,ACCEPT_SORT,known_high_confidence,SORT
416,paper_cup/paper_cup_edge_frame_006.jpg.jpg,paper_cup,edge_frame,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
416,paper_cup/paper_cup_hard_case_010.jpg.jpg,paper_cup,hard_case,2,plastic_bottle+plastic_bottle,0.69+0.52,misclassified,ACCEPT_SORT,known_high_confidence,SORT
416,paper_cup/paper_cup_multi_object_009.jpg.jpg,paper_cup,multi_object,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
416,paper_cup/paper_cup_normal_front_001.jpg.jpg,paper_cup,normal_front,1,paper_cup,0.67,correct,ACCEPT_SORT,known_high_confidence,SORT
416,paper_cup/paper_cup_partial_cut_007.jpg.jpg,paper_cup,partial_cut,1,paper_cup,0.83,correct,ACCEPT_SORT,known_high_confidence,SORT
416,paper_cup/paper_cup_small_far_004.jpg.jpg,paper_cup,small_far,1,paper_cup,0.85,correct,ACCEPT_SORT,known_high_confidence,SORT
416,plastic_bottle/plastic_bottle_angle_view_002.jpg.jpg,plastic_bottle,angle_view,1,plastic_bottle,0.75,correct,ACCEPT_SORT,known_high_confidence,SORT
416,plastic_bottle/plastic_bottle_clutter_bg_005.jpg.jpg,plastic_bottle,clutter_bg,2,plastic_bottle+unknown,0.72+0.50,correct,ACCEPT_SORT,known_high_confidence,SORT
416,plastic_bottle/plastic_bottle_crushed_008.jpg.jpg,plastic_bottle,crushed,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
416,plastic_bottle/plastic_bottle_dark_light_003.jpg.jpg,plastic_bottle,dark_light,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
416,plastic_bottle/plastic_bottle_edge_frame_006.jpg.jpg,plastic_bottle,edge_frame,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
416,plastic_bottle/plastic_bottle_hard_case_010.jpg.jpg,plastic_bottle,hard_case,2,unknown+plastic_bottle,0.87+0.77,correct,ROUTE_TO_REJECT,ambiguous_multi_detection,REJECT
416,plastic_bottle/plastic_bottle_multi_object_009.jpg.jpg,plastic_bottle,multi_object,2,unknown+unknown,0.85+0.71,misclassified,ROUTE_TO_REJECT,unknown_object,REJECT
416,plastic_bottle/plastic_bottle_normal_front_001.jpg.jpg,plastic_bottle,normal_front,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
416,plastic_bottle/plastic_bottle_partial_cut_007.jpg.jpg,plastic_bottle,partial_cut,1,plastic_bottle,0.69,correct,ACCEPT_SORT,known_high_confidence,SORT
416,plastic_bottle/plastic_bottle_small_far_004.jpg.jpg,plastic_bottle,small_far,1,plastic_bottle,0.86,correct,ACCEPT_SORT,known_high_confidence,SORT
416,unknown/unknown_book_005.jpg.jpg,unknown,book,0,,,correct_reject,SKIP_NO_DETECTION,no_detection,SKIP
416,unknown/unknown_bottle_cap_003.jpg.jpg,unknown,bottle_cap,0,,,correct_reject,SKIP_NO_DETECTION,no_detection,SKIP
416,unknown/unknown_charger_007.jpg.jpg,unknown,charger,0,,,correct_reject,SKIP_NO_DETECTION,no_detection,SKIP
416,unknown/unknown_hand_004.jpg.jpg,unknown,hand,1,unknown,0.93,correct_reject,ROUTE_TO_REJECT,unknown_object,REJECT
416,unknown/unknown_mixed_objects_010.jpg.jpg,unknown,mixed_objects,0,,,correct_reject,SKIP_NO_DETECTION,no_detection,SKIP
416,unknown/unknown_mouse_006.jpg.jpg,unknown,mouse,0,,,correct_reject,SKIP_NO_DETECTION,no_detection,SKIP
416,unknown/unknown_paper_piece_008.jpg.jpg,unknown,paper_piece,1,unknown,0.77,correct_reject,ROUTE_TO_REJECT,unknown_object,REJECT
416,unknown/unknown_plastic_bag_009.jpg.jpg,unknown,plastic_bag,0,,,correct_reject,SKIP_NO_DETECTION,no_detection,SKIP
416,unknown/unknown_snack_bag_002.jpg.jpg,unknown,snack_bag,0,,,correct_reject,SKIP_NO_DETECTION,no_detection,SKIP
416,unknown/unknown_tissue_001.jpg.jpg,unknown,tissue,0,,,correct_reject,SKIP_NO_DETECTION,no_detection,SKIP
320,can/can_angle_view_002.jpg.jpg,can,angle_view,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
320,can/can_clutter_bg_005.jpg.jpg,can,clutter_bg,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
320,can/can_crushed_008.jpg.jpg,can,crushed,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
320,can/can_dark_light_003.jpg.jpg,can,dark_light,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
320,can/can_edge_frame_006.jpg.jpg,can,edge_frame,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
320,can/can_hard_case_010.jpg.jpg,can,hard_case,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
320,can/can_multi_object_009.jpg.jpg,can,multi_object,1,unknown,0.87,misclassified,ROUTE_TO_REJECT,unknown_object,REJECT
320,can/can_normal_front_001.jpg.jpg,can,normal_front,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
320,can/can_partial_cut_007.jpg.jpg,can,partial_cut,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
320,can/can_small_far_004.jpg.jpg,can,small_far,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
320,glass_bottle/glass_bottle_angle_view_002.jpg.jpg,glass_bottle,angle_view,1,paper_cup,0.81,misclassified,ACCEPT_SORT,known_high_confidence,SORT
320,glass_bottle/glass_bottle_clutter_bg_005.jpg.jpg,glass_bottle,clutter_bg,2,paper_cup+unknown,0.92+0.87,misclassified,ROUTE_TO_REJECT,ambiguous_multi_detection,REJECT
320,glass_bottle/glass_bottle_dark_light_003.jpg.jpg,glass_bottle,dark_light,1,paper_cup,0.81,misclassified,ACCEPT_SORT,known_high_confidence,SORT
320,glass_bottle/glass_bottle_edge_frame_006.jpg.jpg,glass_bottle,edge_frame,2,paper_cup+unknown,0.74+0.60,misclassified,ROUTE_TO_REJECT,ambiguous_multi_detection,REJECT
320,glass_bottle/glass_bottle_hard_case_010.jpg.jpg,glass_bottle,hard_case,3,plastic_bottle+plastic_bottle+unknown,0.80+0.78+0.55,misclassified,ACCEPT_SORT,known_high_confidence,SORT
320,glass_bottle/glass_bottle_multi_object_009.jpg.jpg,glass_bottle,multi_object,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
320,glass_bottle/glass_bottle_normal_front_001.jpg.jpg,glass_bottle,normal_front,1,paper_cup,0.89,misclassified,ACCEPT_SORT,known_high_confidence,SORT
320,glass_bottle/glass_bottle_partial_cut_007.jpg.jpg,glass_bottle,partial_cut,1,paper_cup,0.86,misclassified,ACCEPT_SORT,known_high_confidence,SORT
320,glass_bottle/glass_bottle_reflection_008.jpg.jpg,glass_bottle,reflection,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
320,glass_bottle/glass_bottle_small_far_004.jpg.jpg,glass_bottle,small_far,1,paper_cup,0.74,misclassified,ACCEPT_SORT,known_high_confidence,SORT
320,paper_cup/paper_cup_angle_view_002.jpg.jpg,paper_cup,angle_view,1,unknown,0.64,misclassified,ROUTE_TO_REJECT,unknown_object,REJECT
320,paper_cup/paper_cup_clutter_bg_005.jpg.jpg,paper_cup,clutter_bg,1,plastic_bottle,0.52,misclassified,ACCEPT_SORT,known_high_confidence,SORT
320,paper_cup/paper_cup_crushed_008.jpg.jpg,paper_cup,crushed,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
320,paper_cup/paper_cup_dark_light_003.jpg.jpg,paper_cup,dark_light,1,paper_cup,0.67,correct,ACCEPT_SORT,known_high_confidence,SORT
320,paper_cup/paper_cup_edge_frame_006.jpg.jpg,paper_cup,edge_frame,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
320,paper_cup/paper_cup_hard_case_010.jpg.jpg,paper_cup,hard_case,1,plastic_bottle,0.71,misclassified,ACCEPT_SORT,known_high_confidence,SORT
320,paper_cup/paper_cup_multi_object_009.jpg.jpg,paper_cup,multi_object,1,unknown,0.52,misclassified,ROUTE_TO_REJECT,unknown_object,REJECT
320,paper_cup/paper_cup_normal_front_001.jpg.jpg,paper_cup,normal_front,1,paper_cup,0.86,correct,ACCEPT_SORT,known_high_confidence,SORT
320,paper_cup/paper_cup_partial_cut_007.jpg.jpg,paper_cup,partial_cut,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
320,paper_cup/paper_cup_small_far_004.jpg.jpg,paper_cup,small_far,1,paper_cup,0.82,correct,ACCEPT_SORT,known_high_confidence,SORT
320,plastic_bottle/plastic_bottle_angle_view_002.jpg.jpg,plastic_bottle,angle_view,1,plastic_bottle,0.89,correct,ACCEPT_SORT,known_high_confidence,SORT
320,plastic_bottle/plastic_bottle_clutter_bg_005.jpg.jpg,plastic_bottle,clutter_bg,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
320,plastic_bottle/plastic_bottle_crushed_008.jpg.jpg,plastic_bottle,crushed,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
320,plastic_bottle/plastic_bottle_dark_light_003.jpg.jpg,plastic_bottle,dark_light,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
320,plastic_bottle/plastic_bottle_edge_frame_006.jpg.jpg,plastic_bottle,edge_frame,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
320,plastic_bottle/plastic_bottle_hard_case_010.jpg.jpg,plastic_bottle,hard_case,2,unknown+plastic_bottle,0.87+0.63,correct,ROUTE_TO_REJECT,unknown_object,REJECT
320,plastic_bottle/plastic_bottle_multi_object_009.jpg.jpg,plastic_bottle,multi_object,2,unknown+unknown,0.78+0.51,misclassified,ROUTE_TO_REJECT,unknown_object,REJECT
320,plastic_bottle/plastic_bottle_normal_front_001.jpg.jpg,plastic_bottle,normal_front,1,plastic_bottle,0.70,correct,ACCEPT_SORT,known_high_confidence,SORT
320,plastic_bottle/plastic_bottle_partial_cut_007.jpg.jpg,plastic_bottle,partial_cut,1,plastic_bottle,0.57,correct,ACCEPT_SORT,known_high_confidence,SORT
320,plastic_bottle/plastic_bottle_small_far_004.jpg.jpg,plastic_bottle,small_far,1,plastic_bottle,0.73,correct,ACCEPT_SORT,known_high_confidence,SORT
320,unknown/unknown_book_005.jpg.jpg,unknown,book,1,unknown,0.80,correct_reject,ROUTE_TO_REJECT,unknown_object,REJECT
320,unknown/unknown_bottle_cap_003.jpg.jpg,unknown,bottle_cap,0,,,correct_reject,SKIP_NO_DETECTION,no_detection,SKIP
320,unknown/unknown_charger_007.jpg.jpg,unknown,charger,0,,,correct_reject,SKIP_NO_DETECTION,no_detection,SKIP
320,unknown/unknown_hand_004.jpg.jpg,unknown,hand,1,unknown,0.92,correct_reject,ROUTE_TO_REJECT,unknown_object,REJECT
320,unknown/unknown_mixed_objects_010.jpg.jpg,unknown,mixed_objects,0,,,correct_reject,SKIP_NO_DETECTION,no_detection,SKIP
320,unknown/unknown_mouse_006.jpg.jpg,unknown,mouse,0,,,correct_reject,SKIP_NO_DETECTION,no_detection,SKIP
320,unknown/unknown_paper_piece_008.jpg.jpg,unknown,paper_piece,1,unknown,0.81,correct_reject,ROUTE_TO_REJECT,unknown_object,REJECT
320,unknown/unknown_plastic_bag_009.jpg.jpg,unknown,plastic_bag,1,unknown,0.57,correct_reject,ROUTE_TO_REJECT,unknown_object,REJECT
320,unknown/unknown_snack_bag_002.jpg.jpg,unknown,snack_bag,0,,,correct_reject,SKIP_NO_DETECTION,no_detection,SKIP
320,unknown/unknown_tissue_001.jpg.jpg,unknown,tissue,0,,,correct_reject,SKIP_NO_DETECTION,no_detection,SKIP
